date,open,high,low,close,volume
11/28/21,6.6,6.6,6.4,6.5,569106.0
11/28/21,21.1,21.4,20.7,20.8,334130.0
11/28/21,43.9,43.9,42.0,42.4,144623.0
11/28/21,27.9,28.0,26.7,27.0,203598.0
11/28/21,5.9,5.9,5.8,5.9,220425.0
11/28/21,14.7,14.7,14.3,14.3,1969165.0
11/28/21,28.8,29.1,28.0,28.5,209641.0
11/28/21,307.0,307.0,297.3,298.9,139524.0
11/28/21,152.5,153.9,150.1,151.0,6434.0
11/28/21,88.4,88.4,83.4,83.8,361832.0
11/28/21,56.5,57.6,56.0,56.4,233287.0
11/28/21,26.1,26.4,24.9,25.2,785655.0
11/28/21,26.7,27.2,26.7,26.8,21694.0
11/28/21,22.0,22.5,21.5,21.7,1221810.0
11/28/21,53.0,54.0,52.2,52.3,107884.0
11/28/21,8.7,8.7,8.5,8.5,75610.0
11/28/21,46.3,46.3,43.5,44.1,49364.0
11/28/21,67.6,70.7,67.6,69.0,147383.0
11/28/21,26.5,26.6,26.0,26.2,343456.0
11/28/21,15.1,15.3,14.4,14.5,4345117.0
11/28/21,16.1,16.1,14.4,16.1,85087.0
11/28/21,59.2,62.0,59.2,61.5,1263049.0
11/28/21,380.0,398.9,379.0,392.0,526.0
11/28/21,213.0,216.2,210.4,210.4,9781.0
11/28/21,36.6,36.6,35.4,35.9,56886.0
11/28/21,366.1,390.0,365.1,387.9,515462.0
11/28/21,42.7,42.9,40.9,41.1,212285.0
11/28/21,129.0,132.9,128.0,128.0,5386.0
11/28/21,238.1,245.9,236.5,236.5,1333.0
11/28/21,112.6,119.5,112.6,115.0,2104.0
11/28/21,117.1,117.5,113.1,113.1,570.0
11/28/21,8.7,8.7,8.1,8.3,782266.0
11/28/21,280.0,299.0,280.0,285.6,6961.0
11/28/21,39.0,39.9,38.4,38.8,75967.0
11/28/21,18.4,18.4,17.9,18.0,192782.0
11/28/21,85.0,85.0,80.0,81.1,126096.0
11/28/21,64.1,64.5,62.0,62.4,44333.0
11/28/21,10.0,10.2,9.9,9.9,135302.0
11/28/21,98.0,101.0,98.0,100.0,2564.0
11/28/21,90.0,97.3,89.3,95.6,81970.0
11/28/21,19.8,20.3,19.8,20.1,208923.0
11/28/21,24.4,24.4,23.6,23.7,394209.0
11/28/21,872.0,872.0,868.0,868.0,659.0
11/28/21,628.0,632.0,624.7,627.1,115040.0
11/28/21,32.9,33.3,32.4,32.6,789271.0
11/28/21,16.6,16.7,16.0,16.2,49790.0
11/28/21,58.0,58.3,57.2,57.7,417799.0
11/28/21,128.2,128.2,125.1,126.1,5877.0
11/28/21,24.4,24.5,23.7,23.8,433973.0
11/28/21,62.0,62.5,60.8,61.8,927678.0
11/28/21,172.0,173.5,169.1,169.8,35292.0
11/28/21,16.1,16.8,16.1,16.6,48443.0
11/28/21,26.0,26.9,25.5,26.7,1707438.0
11/28/21,222.4,230.1,216.1,227.7,304037.0
11/28/21,21.5,22.0,20.4,20.6,161490.0
11/28/21,1765.0,1778.0,1761.5,1764.0,1007.0
11/28/21,170.0,170.2,157.0,163.3,5527332.0
11/28/21,49.2,50.7,48.3,48.6,33772.0
11/28/21,6.3,6.8,6.0,6.0,70928.0
11/28/21,117.7,117.7,116.0,116.3,27507.0
11/28/21,46.3,46.3,44.5,44.5,34515.0
11/28/21,36.5,36.9,36.1,36.3,518211.0
11/28/21,53.5,54.2,51.6,53.8,1572599.0
11/28/21,44.9,45.6,44.5,45.1,163781.0
11/28/21,178.0,181.8,175.6,180.8,102796.0
11/28/21,101.3,103.1,98.7,100.0,153285.0
11/28/21,68.5,69.0,67.2,67.3,102193.0
11/28/21,214.0,214.0,204.8,205.7,528607.0
11/28/21,10.1,10.3,9.9,10.0,258338.0
11/28/21,17.4,17.6,17.4,17.5,119735.0
11/28/21,54.6,54.7,50.0,51.8,284542.0
11/28/21,12.2,12.3,11.8,11.9,372904.0
11/28/21,27.8,28.0,27.3,27.4,1056985.0
11/28/21,41.0,41.1,39.0,40.5,461213.0
11/28/21,7.8,7.8,7.5,7.5,218119.0
11/28/21,114.5,115.0,112.4,114.2,91610.0
11/28/21,46.7,46.7,43.0,43.3,225407.0
11/28/21,32.2,33.8,31.5,32.2,146475.0
11/28/21,53.2,54.5,52.7,53.0,53824.0
11/28/21,158.1,161.0,153.2,158.5,113833.0
11/28/21,22.2,22.2,21.2,21.5,487328.0
11/28/21,60.2,60.2,60.1,60.1,350.0
11/28/21,78.0,78.0,76.8,77.3,62818.0
11/28/21,7.8,7.9,7.8,7.9,454941.0
11/28/21,208.0,212.8,204.7,207.8,1045914.0
11/28/21,8.8,8.8,8.6,8.6,349988.0
11/28/21,36.1,36.8,36.1,36.7,15673.0
11/28/21,20.8,20.9,19.4,19.6,1315348.0
11/28/21,38.0,39.0,38.0,38.5,35029.0
11/28/21,14.8,14.8,14.2,14.3,991045.0
11/28/21,71.5,71.5,70.2,70.8,49522.0
11/28/21,24.9,24.9,23.8,23.9,463979.0
11/28/21,66.9,67.0,65.6,66.5,175239.0
11/28/21,154.0,162.9,153.6,156.7,36200.0
11/28/21,15.9,16.0,15.0,15.1,850531.0
11/28/21,47.1,51.0,47.1,51.0,508.0
11/28/21,82.9,83.6,81.0,82.4,599574.0
11/28/21,109.9,109.9,105.5,106.0,106430.0
11/28/21,39.5,39.5,38.1,38.2,63246.0
11/28/21,2343.7,2343.7,2245.1,2304.9,1878.0
11/28/21,37.9,38.5,37.6,38.1,551992.0
11/28/21,7.7,7.7,7.6,7.6,94451.0
11/28/21,6.5,6.5,6.3,6.4,252878.0
11/28/21,124.0,126.7,124.0,124.0,10991.0
11/28/21,57.5,57.5,53.1,56.5,37915.0
11/28/21,50.8,51.6,49.8,50.0,105978.0
11/28/21,33.5,34.0,32.3,32.4,252591.0
11/28/21,33.2,36.6,33.2,36.0,481553.0
11/28/21,42.9,44.1,42.9,43.6,10166.0
11/28/21,41.5,41.5,40.4,40.5,173915.0
11/28/21,34.0,34.6,33.8,33.8,65826.0
11/28/21,10.6,10.8,10.2,10.3,537802.0
11/28/21,6.7,6.8,6.6,6.7,312965.0
11/28/21,13.1,13.1,12.8,12.8,1604965.0
11/28/21,4.6,4.6,4.4,4.4,762812.0
11/28/21,12.0,12.2,11.5,11.5,533718.0
11/28/21,6.6,6.8,6.6,6.8,19266.0
11/28/21,47.5,47.5,46.1,46.5,22860.0
11/28/21,6.9,6.9,6.7,6.7,460500.0
11/28/21,5.6,5.7,5.5,5.6,460758.0
11/28/21,35.5,36.0,35.1,35.1,141807.0
11/28/21,16.2,16.7,15.6,15.8,486530.0
11/28/21,37.2,37.3,36.7,36.9,9979.0
11/28/21,7.3,7.5,7.3,7.4,138263.0
11/28/21,14.4,14.5,13.5,13.6,15694535.0
11/28/21,97.5,97.5,93.1,95.0,1616948.0
11/28/21,16.0,16.6,15.8,16.4,697649.0
11/28/21,14.0,14.0,13.5,13.7,382110.0
11/28/21,34.8,34.8,32.8,33.2,239865.0
11/28/21,238.6,238.6,225.1,227.0,57442.0
11/28/21,163.0,164.7,155.2,159.1,519042.0
11/28/21,5.7,5.7,5.5,5.6,1874952.0
11/28/21,16.7,17.0,16.3,16.3,204031.0
11/28/21,30.7,32.9,30.7,30.7,36579.0
11/28/21,47.0,47.4,46.1,46.3,94300.0
11/28/21,21.5,21.7,20.4,20.6,3125910.0
11/28/21,360.0,361.1,358.7,359.1,49512.0
11/28/21,54.1,54.5,52.7,53.0,584528.0
11/28/21,101.6,103.5,101.6,102.6,14116.0
11/28/21,16.3,16.5,16.3,16.4,117196.0
11/28/21,7.8,7.9,7.7,7.7,321969.0
11/28/21,96.6,96.6,90.1,93.9,39804.0
11/28/21,22.5,22.6,21.9,22.1,744220.0
11/28/21,49.5,49.5,48.0,48.3,120524.0
11/28/21,278.0,281.4,278.0,278.0,4175.0
11/28/21,63.7,63.7,59.6,60.7,108837.0
11/28/21,42.6,43.9,42.6,43.0,6505.0
11/28/21,268.3,268.8,267.6,267.6,20001.0
11/28/21,19.1,19.1,18.4,18.4,263345.0
11/28/21,118.7,118.7,113.0,113.2,97943.0
11/28/21,6.9,6.9,6.7,6.8,36936.0
11/28/21,8.8,8.8,8.7,8.7,10500.0
11/28/21,10.4,10.6,10.0,10.4,82434.0
11/28/21,7.2,7.3,7.0,7.0,41149.0
11/28/21,5.3,5.4,5.3,5.4,288641.0
11/28/21,8.2,8.2,8.0,8.0,21105.0
11/28/21,59.5,60.1,59.5,59.6,219917.0
11/28/21,47.0,47.0,45.2,46.4,214222.0
11/28/21,18.9,18.9,18.0,18.2,25378903.0
11/28/21,5.8,5.9,5.7,5.7,265597.0
11/28/21,6.4,6.5,6.3,6.4,114306.0
11/28/21,6.7,6.9,6.7,6.7,119401.0
11/28/21,24.1,24.5,23.1,23.7,6800.0
11/28/21,116.0,116.0,111.1,112.3,105098.0
11/28/21,27.5,27.5,26.9,27.0,72561.0
11/28/21,19.4,19.7,19.2,19.5,227059.0
11/28/21,39.9,40.0,38.1,38.5,280019.0
11/28/21,31.1,32.0,31.0,31.1,220029.0
11/28/21,26.5,26.8,25.9,26.2,615367.0
11/28/21,66.0,66.0,62.0,62.5,347908.0
11/28/21,36.5,36.5,34.0,35.1,29749.0
11/28/21,33.1,33.1,31.0,31.9,55879.0
11/28/21,24.3,24.3,23.7,23.8,466690.0
11/28/21,171.1,171.5,170.1,170.7,7384.0
11/28/21,42.8,45.7,41.9,42.1,222170.0
11/28/21,323.0,326.0,320.0,320.1,5021.0
11/28/21,104.0,104.0,98.0,98.0,548.0
11/28/21,40.4,41.5,38.8,39.0,195735.0
11/28/21,265.4,278.7,265.4,270.0,759.0
11/28/21,10.2,10.3,9.9,10.0,88507.0
11/28/21,64.1,65.7,62.0,64.7,149979.0
11/28/21,7.0,7.1,6.8,6.9,1290666.0
11/28/21,392.0,392.0,385.0,389.8,6244.0
11/28/21,33.1,33.1,31.9,32.0,225760.0
11/28/21,9.0,9.1,8.6,8.7,332639.0
11/28/21,33.4,33.7,31.8,32.2,667035.0
11/28/21,39.5,40.0,38.7,38.9,4057995.0
11/28/21,57.3,58.4,57.2,58.4,55165.0
11/28/21,75.1,76.6,74.4,74.6,1080417.0
11/28/21,779.9,779.9,755.0,761.0,1523.0
11/28/21,1375.0,1408.0,1370.8,1388.0,2805.0
11/28/21,39.5,39.9,39.2,39.5,125902.0
11/28/21,7.3,7.3,7.0,7.0,1491078.0
11/28/21,24.6,24.6,23.6,23.8,1586008.0
11/28/21,30.7,31.5,30.2,30.5,1171062.0
11/28/21,2291.0,2300.0,2280.1,2280.2,474.0
11/28/21,57.6,60.2,57.6,58.6,235057.0
11/28/21,8.3,8.3,8.1,8.1,481720.0
11/28/21,15.7,15.8,14.9,15.1,9942.0
11/28/21,75.2,76.9,75.0,76.3,9460.0
11/28/21,69.7,70.4,68.5,69.5,52312.0
11/28/21,18.9,19.0,18.0,19.0,17634.0
11/28/21,18.3,18.3,17.5,17.7,7728455.0
11/28/21,46.9,47.0,45.4,46.0,10559.0
11/28/21,21.7,21.7,20.3,20.5,386629.0
11/28/21,25.9,26.2,25.4,25.4,305168.0
11/28/21,65.2,69.1,65.2,67.8,5751.0
11/28/21,17.6,17.7,17.1,17.2,113278.0
11/28/21,25.7,25.7,24.0,24.5,268328.0
11/28/21,64.1,64.8,61.1,62.5,97785.0
11/28/21,13.4,13.4,12.4,12.5,92188.0
11/28/21,88.4,89.0,87.8,88.9,65308.0
11/28/21,24.0,24.0,23.6,23.7,3563346.0
11/28/21,500.2,505.9,496.2,498.5,4568.0
11/28/21,112.1,112.1,108.0,108.9,57064.0
11/28/21,18.7,19.4,18.3,18.6,84911.0
11/28/21,145.0,145.0,134.5,135.3,9183.0
11/28/21,193.5,195.9,191.3,192.8,25127.0
11/28/21,20.0,20.2,19.9,19.9,143110.0
11/28/21,41.2,41.4,39.9,41.0,100048.0
